,Feature,Importance
8463,EIF4B,0.00039598643
149,NDUFB10,0.00039592164
8959,SEC62,0.0003957751
1794,HEATR5B,0.00039524195
1864,PLA2G16,0.00038988807
4850,RAD54L2,0.00038944243
7350,API5,0.0003891514
1661,SUN2,0.00038810316
2143,GOPC,0.00038747225
5441,TCP1,0.000385742
4193,TSC22D3,0.0003849986
5145,FAM21A,0.00038221845
2480,MIDN,0.0003817416
4273,UBC,0.00037745072
3258,ECSIT,0.00037387683
7382,CD200R1,0.00037321012
6833,ACAP2,0.00037173403
7116,SH3BP5,0.0003692444
6669,ANO9,0.00036712375
8385,CYTH4,0.00036665198
690,CDC26,0.00036640037
9158,CSK,0.00036623998
1403,LCP2,0.0003656356
2636,C14orf159,0.0003645492
7901,BTG2,0.00036324534
1310,STXBP2,0.0003624419
8648,CYBA,0.00036172575
6782,RERE,0.00036072635
237,CDK17,0.0003570776
6365,EIF5,0.0003570551
1991,SLAMF6,0.00035631415
5439,SBNO1,0.00035615024
3249,UBE2G2,0.0003557637
125,ATP6V1F,0.00035546086
7079,RGS2,0.0003546748
8913,RP11-599B13.6,0.00035436382
5842,KPNB1,0.0003515779
4475,PAPD4,0.00034428333
8106,FAM120B,0.00034095644
6861,QKI,0.00034059864
6113,LAPTM5,0.0003397752
3430,SLA,0.000339656
46,RP11-231C14.4,0.00033845613
7830,FAM96B,0.0003383336
7768,PPP3CA,0.0003382323
9323,ZC3H12A,0.00033451346
3361,ITGB1,0.00033270233
9893,RECQL,0.0003324963
4227,SPN,0.0003317916
8137,PFDN2,0.00033164458
5864,AGFG1,0.00033149592
8615,RABGAP1L,0.00033135747
10050,GPR108,0.00032608412
9354,VPS39,0.00032581863
9362,AP3S2,0.00032507366
5372,C18orf25,0.00032491732
2037,PCID2,0.00032471042
7908,RMND5A,0.0003245587
5531,TBX21,0.000324283
4190,GCN1L1,0.00032396187
225,SMARCC2,0.00032275703
2018,DDX21,0.00032254387
2091,NBR1,0.0003212704
1805,PKM,0.00031918698
7156,A2M,0.00031695268
1297,IL12RB1,0.00031661277
1228,CTBP1,0.00031529338
9750,TXK,0.00031467897
2749,JMJD1C,0.00031362555
79,DIAPH1,0.00031297398
5952,SPSB3,0.0003123924
2771,YY1AP1,0.0003122725
2153,SRPK1,0.00031111867
109,HNRNPU,0.00030807595
4176,SMC3,0.00030758488
8175,DOCK8,0.00030751072
7250,GIGYF1,0.00030725924
5515,PIAS1,0.00030707076
6834,DDX27,0.00030598513
1289,TRAM1,0.00030555902
8866,MAP3K8,0.00030439612
9570,TNRC6B,0.00030248455
5814,EIF4G3,0.000300411
9877,HNRNPK,0.0002999058
4612,ABI2,0.00029839252
2589,NKTR,0.00029691344
4417,CELF1,0.0002968246
4869,EIF3A,0.00029612327
7293,CD5,0.00029592865
6592,POMP,0.00029586046
3851,ZNF335,0.00029269283
1725,CASP8,0.00029259
8995,PSMB9,0.00029227577
9609,LNPEP,0.00029222723
9913,NUP62,0.00029083027
7941,SAR1A,0.0002905735
668,KAT6A,0.0002880335
7112,PPIA,0.00028769532
6194,TMED5,0.00028472915
7678,RCSD1,0.00028311106
9154,DYNC1H1,0.00028191227
7696,IL16,0.00028157115
7967,YTHDF2,0.00028116247
4703,CD97,0.0002800579
9250,APRT,0.00027878367
6276,C16orf54,0.00027771844
3333,ST13,0.0002750696
7812,SRSF1,0.00027381023
8161,HECTD2,0.00027241468
4734,RNASET2,0.00027019714
4519,PRKAR1A,0.00026953535
7607,PPP1CA,0.00026674048
4589,MIS18BP1,0.0002658358
8302,SLC7A6,0.0002651617
7687,PPP1R2,0.00026405923
4991,PICALM,0.0002598318
422,ACTR10,0.0002590938
921,DENND2D,0.0002587349
7381,UFC1,0.00025859196
6285,PIK3R5,0.0002569636
7139,EMR2,0.00025659212
3176,HLA-DRA,0.00025547406
6709,TTLL3,0.00025540093
454,VPS13B,0.00025479076
9277,EIF3M,0.00025461876
8274,CLUAP1,0.00025453584
8037,ANKRD40,0.00025389474
8057,C7orf55-LUC7L2,0.00025373543
1420,EIF1,0.00025193728
9490,LY9,0.0002519341
8155,NDUFA9,0.00025148503
4764,FNBP1,0.00025094574
396,UTY,0.00024802086
4023,ANKDD1A,0.0002469791
6461,MCOLN2,0.00024551692
5706,NUCKS1,0.0002420599
4315,TMC6,0.00024182581
5654,PNRC2,0.0002402702
1484,RAD21,0.00023903947
2660,KPNA1,0.00023850113
6915,EML4,0.00023814448
4583,SERF2,0.00023729903
1437,TACC1,0.00023667252
5807,KRTCAP2,0.00023545766
3067,SLC9A3R1,0.0002353442
7294,PSMD6,0.00023491574
4609,TNFAIP3,0.00023297625
3074,NBPF14,0.0002327806
1658,CENPC,0.00023129341
7012,TPT1,0.00022899592
5094,LMNA,0.00022866233
3225,NAIP,0.00022789232
9209,IQGAP1,0.00022748872
8119,SCML4,0.00022721796
4320,PSMB4,0.00022643071
447,HNRNPR,0.00022175671
1090,SNX5,0.0002213461
4252,PIGG,0.0002207675
9203,CDK5RAP3,0.00022033871
4526,KCTD10,0.0002202213
9420,ENTPD1,0.00021988936
5052,TMEM39A,0.0002184241
7786,KDM4C,0.00021749818
3884,TTL,0.00021688156
429,PDCD5,0.00021626345
4370,EEF1D,0.00021571909
8350,ITK,0.00021562581
6386,GLUD1,0.00021340972
4233,SLC35E2,0.00021276562
1035,SSH2,0.00021134476
5103,UCHL5,0.00021127898
3003,PLD3,0.00020578878
928,TSPYL1,0.00020512231
7300,PLEC,0.00020273952
4903,RHOH,0.00020268848
8791,STARD3,0.0002026457
6078,ENO1,0.0002024281
7481,RAB27A,0.00020185894
8387,OGT,0.00020184249
9858,ALDOA,0.00020097944
7621,KIF5B,0.00019917927
8687,CRTC2,0.00019896525
5310,CHD4,0.0001988047
6404,MCL1,0.00019873142
3260,PARP14,0.00019531931
2386,SRSF7,0.00019464678
7904,TTN,0.00019342345
8516,HMGN1,0.00019323551
6373,KAT5,0.0001926052
7188,KIAA1109,0.0001925123
9040,ANAPC5,0.00019248539
7772,CDKN1A,0.00019195753
7267,ARL6IP4,0.0001919219
9177,PPP2R5D,0.00019135323
8893,C2orf68,0.00019085043
4274,EIF4EBP2,0.00019080116
9159,CNOT1,0.00019016289
9165,PARVG,0.00018867363
8837,BZW1,0.00018802016
3539,RASSF1,0.00018699131
3611,CELF2,0.00018594712
3116,RFTN1,0.0001856498
5363,SNRPD1,0.00018428508
5450,GPR56,0.00018410847
2456,USP9X,0.00018404292
3659,CD52,0.00018401105
7673,HSPA5,0.00018384433
5171,NECAP1,0.00018379051
1630,HLA-C,0.00018354462
8911,RASA2,0.00018351828
10005,ARF6,0.00017877662
2695,CABIN1,0.00017855855
3931,XXbac-BPG181M17.5,0.00017788408
388,HNRNPC,0.00017780351
7636,WIPF1,0.00017700513
5823,PGAM1,0.00017673985
7771,RAP2B,0.00017666632
3814,CSNK2B,0.00017656598
7751,DEDD2,0.00017512242
8200,TMEM63A,0.00017512045
405,ARPC1B,0.00017385454
3522,FKBP5,0.00017377603
8799,ZNF217,0.00017366753
35,LRMP,0.00017359076
8169,ELK4,0.00017321912
1761,XRN1,0.00017319233
6058,CCL4L1,0.0001715623
3699,UBAP1,0.00017021877
8395,SUMF2,0.00016904881
9108,EIF4A1,0.00016808975
9010,NDUFA1,0.00016790532
7264,NT5DC1,0.00016608763
8505,SLC25A36,0.00016578345
3353,SNRPB,0.00016472666
1080,ZDHHC4,0.00016393035
9998,TRRAP,0.00016327505
760,DYNLL1,0.00016273725
3949,UBE2D3,0.0001627278
3828,SERP1,0.00016193162
5589,SERPINB1,0.00016149165
4318,NSF,0.0001612262
7209,LENG8,0.00016040288
7514,SLC35A4,0.00016014554
8265,SURF4,0.00015986845
1468,EIF4H,0.0001560176
1108,FNBP4,0.00015509389
2127,LBR,0.00015486055
3652,COX7A2L,0.00015426606
9289,FBXW4,0.00015400624
9898,PHF3,0.00015307996
2206,CD74,0.00015214283
5355,PRF1,0.00015205365
2568,CFL1,0.00015109868
8666,ATG13,0.00015014264
4142,BTN3A3,0.00014896588
4015,SPDYE2,0.0001467463
234,PLA2G4B,0.00014547257
8109,PPP6R1,0.0001447267
2951,CD48,0.0001436124
5144,RBCK1,0.00014335346
2973,HMG20B,0.00014331554
88,PLEKHG2,0.00014303789
6109,SRSF6,0.00014069944
6943,CLEC2D,0.00013914009
7550,ATP5B,0.00013885289
7977,GPCPD1,0.00013867374
2332,HLA-G,0.0001372569
494,DUT,0.00013718428
1722,EMC7,0.00013664018
254,SAT1,0.00013566119
6721,PSMA7,0.00013528811
1823,XPOT,0.00013419575
5252,HSPA8,0.0001340455
2343,ANKRD10,0.00013351942
1929,MSN,0.00013348235
890,DDX46,0.00013327037
117,AC138969.4,0.00013301865
9868,ECHDC2,0.00013300151
4107,SETX,0.0001327251
1703,TMBIM6,0.00013162494
6509,NBPF15,0.00013161737
7175,GATAD2A,0.00013129685
2760,C1orf63,0.00013044933
2791,MECP2,0.00013040865
3675,CHURC1,0.00013038154
7469,LRRFIP1,0.00012945225
2542,EIF3K,0.0001275564
8371,GOLGA2,0.00012687538
6718,PDS5A,0.00012673411
5354,MON2,0.00012649457
2437,HSP90B1,0.00012440467
4899,EIF3C,0.00012426556
3929,NGLY1,0.00012409787
230,SIGIRR,0.00012330571
7097,EEF2,0.0001232321
209,LUC7L3,0.00012304705
7313,CHCHD3,0.00012239597
7735,ILF3,0.000121365185
4662,TPP1,0.00012108697
389,GLG1,0.00012059972
1757,TAF1D,0.000120166376
7776,TMEM41A,0.000120033794
796,GOLGA3,0.000119617514
5429,TMOD3,0.0001184374
191,PPP1R18,0.000118383614
6119,NDUFA11,0.00011752634
971,WDR45B,0.00011741913
6056,FUBP1,0.00011644613
9776,ATXN10,0.00011443907
4283,DUSP1,0.000112859656
8205,RASGEF1B,0.00011259432
6634,EEF1G,0.000112486916
5121,VAPA,0.00011235689
8593,ATG16L2,0.00011144784
6606,C9orf16,0.00011082561
1936,RBBP6,0.0001101931
8755,INO80D,0.000109015535
6255,TOMM20,0.00010896085
77,SENP7,0.000108698274
1509,VPS13A,0.00010784396
5129,PSMA6,0.0001064168
3890,CREB3L2,0.00010468273
4949,ATF4,0.00010465865
9324,PRKACB,0.0001035014
9936,XYLT2,0.00010258224
7312,JUN,0.00010256611
4769,C17orf62,0.00010217626
689,ITM2B,0.00010198959
2396,VAMP8,0.00010161428
7703,KCNAB2,0.000101602716
4465,DHPS,0.000101598234
6467,JAK3,0.00010143012
7747,GPBP1,0.00010050648
5783,TXNDC12,9.969566e-05
5838,ATRAID,9.955549e-05
1333,RPN1,9.8894816e-05
1404,RC3H1,9.8809025e-05
1186,CKLF,9.876179e-05
9087,MAZ,9.765711e-05
771,CD53,9.759855e-05
7586,UBR4,9.630828e-05
8010,AZIN1,9.618521e-05
6896,B2M,9.593413e-05
6256,PML,9.488111e-05
9463,KIAA0247,9.470795e-05
1040,STRN3,9.4316456e-05
3942,RNF19A,9.4219395e-05
5702,HNRNPD,9.41736e-05
2217,HSPH1,9.390804e-05
1640,IRF3,9.365999e-05
5755,GGNBP2,9.3459035e-05
663,P4HB,9.2963644e-05
3158,OST4,9.292071e-05
1307,RBM34,9.223908e-05
379,SF3B1,9.2069524e-05
